predictions_file,average_scores_by_image,pearson_r_true_v_predicted,p_value
predictions/predictions_regression_model_trained_on_tanh_normed_full_set.p,0,6.59E-01,0.00E+00
predictions/predictions_regression_model_trained_on_tanh_normed_full_set.p,1,7.16E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_accessory_val2017_regression.p,0,5.40E-01,3.89E-280
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_animal_val2017_regression.p,0,4.73E-01,8.10E-287
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_appliance_val2017_regression.p,0,5.35E-01,3.38E-133
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_electronic_val2017_regression.p,0,3.81E-01,1.52E-90
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_food_val2017_regression.p,0,4.36E-01,1.67E-162
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_full_set_tanh_normed_val2017.p,0,5.62E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_furniture_val2017_regression.p,0,5.60E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_indoor_val2017_regression.p,0,4.81E-01,7.34E-194
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_kitchen_val2017_regression.p,0,4.81E-01,1.80E-264
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_outdoor_val2017_regression.p,0,4.23E-01,1.75E-112
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_person_val2017_regression.p,0,5.93E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_sports_val2017_regression.p,0,5.96E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_person_vehicle_val2017_regression.p,0,7.73E-02,7.77E-09
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_accessory_val2017_regression.p,0,5.48E-01,1.31E-290
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_animal_val2017_regression.p,0,4.15E-01,1.89E-214
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_appliance_val2017_regression.p,0,5.34E-01,1.07E-132
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_electronic_val2017_regression.p,0,3.80E-01,3.84E-90
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_food_val2017_regression.p,0,3.63E-01,2.07E-109
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_full_set_tanh_normed_val2017.p,0,5.06E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_furniture_val2017_regression.p,0,5.39E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_indoor_val2017_regression.p,0,3.14E-01,1.26E-77
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_kitchen_val2017_regression.p,0,4.47E-01,6.68E-225
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_outdoor_val2017_regression.p,0,3.76E-01,4.27E-87
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_person_val2017_regression.p,0,5.25E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_sports_val2017_regression.p,0,5.35E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_vehicle_val2017_regression.p,0,5.85E-02,1.26E-05
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_accessory_val2017_regression.p,0,4.34E-01,3.28E-170
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_appliance_val2017_regression.p,0,4.71E-01,2.04E-99
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_animal_val2017_regression.p,0,5.14E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_electronic_val2017_regression.p,0,3.32E-01,1.06E-67
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_food_val2017_regression.p,0,3.68E-01,8.39E-113
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_full_set_tanh_normed_val2017.p,0,5.20E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_furniture_val2017_regression.p,0,5.14E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_indoor_val2017_regression.p,0,4.32E-01,5.52E-153
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_kitchen_val2017_regression.p,0,4.15E-01,3.57E-190
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_outdoor_val2017_regression.p,0,4.18E-01,2.05E-109
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_person_val2017_regression.p,0,5.08E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_sports_val2017_regression.p,0,5.19E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_animal_vehicle_val2017_regression.p,0,3.89E-02,3.66E-03
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_accessory_val2017_regression.p,0,3.74E-01,1.93E-123
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_animal_val2017_regression.p,0,2.49E-01,1.12E-73
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_appliance_val2017_regression.p,0,5.42E-01,3.83E-137
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_electronic_val2017_regression.p,0,3.76E-01,6.18E-88
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_food_val2017_regression.p,0,3.53E-01,1.39E-103
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_full_set_tanh_normed_val2017.p,0,3.67E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_furniture_val2017_regression.p,0,5.37E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_indoor_val2017_regression.p,0,4.09E-01,8.80E-136
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_kitchen_val2017_regression.p,0,4.78E-01,6.53E-261
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_outdoor_val2017_regression.p,0,3.12E-01,2.11E-59
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_person_val2017_regression.p,0,3.05E-01,1.11E-286
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_sports_val2017_regression.p,0,9.28E-02,8.79E-11
predictions/predictions_best_regression_model_tanh_norm_trained_on_appliance_vehicle_val2017_regression.p,0,6.09E-02,5.50E-06
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_accessory_val2017_regression.p,0,4.95E-01,2.32E-229
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_animal_val2017_regression.p,0,3.77E-01,1.99E-174
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_appliance_val2017_regression.p,0,5.46E-01,5.84E-140
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_electronic_val2017_regression.p,0,4.79E-01,3.84E-149
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_food_val2017_regression.p,0,3.82E-01,1.60E-122
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_full_set_tanh_normed_val2017.p,0,4.83E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_furniture_val2017_regression.p,0,5.62E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_indoor_val2017_regression.p,0,4.23E-01,2.81E-146
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_kitchen_val2017_regression.p,0,4.59E-01,2.90E-238
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_outdoor_val2017_regression.p,0,3.45E-01,4.88E-73
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_person_val2017_regression.p,0,4.86E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_sports_val2017_regression.p,0,4.93E-01,1.84E-296
predictions/predictions_best_regression_model_tanh_norm_trained_on_electronic_vehicle_val2017_regression.p,0,7.91E-02,3.47E-09
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_accessory_val2017_regression.p,0,4.18E-01,2.24E-157
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_animal_val2017_regression.p,0,2.60E-01,6.04E-81
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_appliance_val2017_regression.p,0,4.44E-01,2.22E-87
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_electronic_val2017_regression.p,0,3.33E-01,3.71E-68
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_food_val2017_regression.p,0,5.00E-01,6.47E-221
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_full_set_tanh_normed_val2017.p,0,4.00E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_furniture_val2017_regression.p,0,5.08E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_indoor_val2017_regression.p,0,3.85E-01,2.36E-119
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_kitchen_val2017_regression.p,0,4.61E-01,8.62E-241
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_outdoor_val2017_regression.p,0,3.46E-01,3.27E-73
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_person_val2017_regression.p,0,4.02E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_sports_val2017_regression.p,0,3.61E-01,4.47E-150
predictions/predictions_best_regression_model_tanh_norm_trained_on_food_vehicle_val2017_regression.p,0,1.97E-02,1.41E-01
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_accessory_val2017_regression.p,0,4.92E-01,2.66E-226
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_animal_val2017_regression.p,0,3.16E-01,1.37E-120
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_appliance_val2017_regression.p,0,5.36E-01,1.20E-133
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_electronic_val2017_regression.p,0,4.16E-01,2.46E-109
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_food_val2017_regression.p,0,4.57E-01,6.31E-181
predictions/predictions_best_regression_model_tanh_norm_trained_on_accessory_full_set_tanh_normed_val2017.p,0,5.06E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_furniture_val2017_regression.p,0,5.95E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_indoor_val2017_regression.p,0,3.24E-01,7.93E-83
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_kitchen_val2017_regression.p,0,4.84E-01,6.17E-269
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_outdoor_val2017_regression.p,0,3.37E-01,1.52E-69
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_person_val2017_regression.p,0,4.56E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_sports_val2017_regression.p,0,4.35E-01,7.88E-224
predictions/predictions_best_regression_model_tanh_norm_trained_on_furniture_vehicle_val2017_regression.p,0,3.14E-02,1.91E-02
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_accessory_val2017_regression.p,0,4.48E-01,1.12E-182
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_animal_val2017_regression.p,0,3.50E-01,8.37E-149
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_appliance_val2017_regression.p,0,5.54E-01,1.69E-144
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_electronic_val2017_regression.p,0,3.79E-01,1.49E-89
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_food_val2017_regression.p,0,4.03E-01,4.11E-137
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_full_set_tanh_normed_val2017.p,0,5.15E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_furniture_val2017_regression.p,0,5.60E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_indoor_val2017_regression.p,0,4.79E-01,7.22E-192
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_kitchen_val2017_regression.p,0,4.75E-01,6.59E-257
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_outdoor_val2017_regression.p,0,4.11E-01,2.26E-105
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_person_val2017_regression.p,0,5.22E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_sports_val2017_regression.p,0,5.12E-01,5.e-323
predictions/predictions_best_regression_model_tanh_norm_trained_on_indoor_vehicle_val2017_regression.p,0,7.77E-02,6.54E-09
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_accessory_val2017_regression.p,0,4.80E-01,1.62E-213
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_animal_val2017_regression.p,0,3.32E-01,1.63E-133
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_appliance_val2017_regression.p,0,5.51E-01,5.11E-143
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_electronic_val2017_regression.p,0,4.30E-01,4.23E-117
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_food_val2017_regression.p,0,4.55E-01,1.96E-178
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_on_full_set.p,0,4.69E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_furniture_val2017_regression.p,0,5.89E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_indoor_val2017_regression.p,0,4.02E-01,5.17E-131
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_kitchen_val2017_regression.p,0,5.20E-01,3.8899656e-317
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_outdoor_val2017_regression.p,0,3.73E-01,6.31E-86
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_person_val2017_regression.p,0,4.81E-01,0.00E+00
predictions/predictions_best_regression_model_tanh_norm_trained_on_kitchen_sports_val2017_regression.p,0,5.06E-01,1.47379777e-314
